terms,definitions,source,assigned_readability,flesch_reading_ease,flesch_kincaid_grade,smog_index,coleman_liau_index,automated_readability_index,dale_chall_readability_score,difficult_words,linsear_write_formula,gunning_fog,text_standard,fernandez_huerta,szigriszt_pazos,gutierrez_polini,crawford,gulpease_index,osman
Balance of payments,A set of accounts that summarise a country’s transactions with the rest of the world.,ncert,1,81.63,5.6,0.0,9.21,8.3,8.59,4,7.5,8.67,8th and 9th grade,113.6,108.77,44.68,1.8,61.6666666666667,69.5
portable alpha,"A strategy in which you invest in positive alpha positions, then hedge the systematic risk of that invest-ment, and, finally, establish market exposure where you want it by using passive indexes.",zvi,0,23.09,17.7,0.0,13.07,19.1,12.31,11,24.5,21.43,12th and 13th grade,67.2,65.3,34.6,4.6,45.4516129032258,36.72
INTERNATIONAL MONETARY FUND (IMF),"A supranational organization created in 1946 to assist in maintaining financial stability and administer the fixed FOREIGN EXCHANGE RATE regime that existed until 1971. The IMF now focuses on granting LOANS, managing external DEBT programs (via the Supplemental Reserve Facility and Country Credit Line program), and creating stability plans for DEBTOR nations. The organization is financed via subscrip- tions from member countries.",palgrave,0,25.08,14.9,16.3,16.77,17.2,13.83,25,15.6666666666667,17.31,16th and 17th grade,71.7,66.59,31.02,5.0,43.5161290322581,24.98
Triple Top,"The triple top is a type of chart pattern used in technical analysis to predict the reversal in the movement of an asset's price. Consisting of three peaks, a triple top signals that the asset may no longer be rallying, and that lower prices may be on the way.",investopedia,1,71.99,9.3,0.0,7.49,11.2,10.33,12,14.75,13.88,9th and 10th grade,103.9,98.42,45.65,2.4,57.9795918367347,67.36
Mill Levy,"The mill levy is a property tax. It is applied to a property based on its assessed value. The rate of the tax is expressed in mills and is equal to one dollar per $1,000 dollars of assessed value. The mill levy is calculated by determining how much revenue each tax jurisdiction will need for the upcoming year to fund its budget for public services. For example, funding public schools and maintaining parks and recreation areas. That revenue is then divided by the total value of all property within the area. Finally, the rate from each jurisdiction is added to obtain the mill levy for the entire area.﻿﻿",investopedia,1,64.3,8.1,10.6,8.76,8.1,9.23,22,7.85714285714286,9.12,8th and 9th grade,101.1,100.26,45.79,2.4,62.0555555555556,68.7
INDIRECT LOSS,See CONSEQUENTIAL LOSS.,palgrave,0,34.59,9.2,0.0,13.12,13.0,9.05,1,1.5,14.53,12th and 13th grade,83.8,79.24,29.48,-0.5,119.0,44.6
Inverted Yield Curve,An inverted yield curve represents a situation in which long-term debt instruments have lower yields than short-term debt instruments of the same credit quality. An inverted yield curve is sometimes referred to as a negative yield curve.,investopedia,1,52.7,10.5,0.0,13.58,13.4,9.68,9,13.25,13.89,13th and 14th grade,92.0,88.99,37.08,3.3,50.8918918918919,44.12
Upstairs Market,"The term upstairs market refers to a network that exists between large firms and institutional investors. This network involves large trades or block orders. Trades in these transactions are not submitted through a stock exchange, which means they are not visible to other market participants. These orders are carried out directly between buyers and sellers, with professional brokers acting as intermediaries. The size of the order made in the upstairs market accounts for a big portion of the market's trading volume.",investopedia,1,55.03,9.6,10.4,13.34,12.2,9.51,23,8.7,10.43,9th and 10th grade,94.3,90.65,37.8,3.2,53.1975308641975,44.64
modified duration,Macaulay™s duration divided by 1 + yield to maturity. Measures interest rate sensitivity of bonds.,zvi,0,22.07,11.9,0.0,13.64,10.3,16.39,6,5.25,17.09,11th and 12th grade,73.7,70.79,36.63,3.8,71.8571428571429,43.42
SCALE EFFECT,See ECONOMIES OF SCALE.,palgrave,0,118.18,-2.3,0.0,4.35,4.1,11.73,0,1.0,1.6,-1th and 0th grade,142.8,140.54,47.73,-3.7,114.0,87.92
BUY-SIDE,"INVESTMENT firms, such as a HEDGE FUNDS, MUTUAL FUNDS, or PENSION FUNDS, that act as clients of the FINANCIAL INSTITUTION sector, paying fees and COMMISSIONS (i.e., “buying”) in exchange for a range of services that can include investment advice, NEW ISSUES and other product offerings, and TRADE EXECUTION. See also SELL-SIDE.",palgrave,0,45.59,13.2,0.0,12.83,16.9,12.02,16,16.75,15.69,12th and 13th grade,84.8,81.17,36.44,3.7,46.4509803921569,40.73
default risk,The risk that a loan customer may fail to repay a loan as promised.,fmi,0,99.57,2.9,0.0,4.11,3.8,6.59,0,6.0,5.6,5th and 6th grade,126.6,121.64,53.58,0.7,71.8571428571429,95.04
Net Internal Rate of Return,Net internal rate of return (net IRR) is a performance measurement equal to the internal rate of return after fees and carried interest are factored in. It is used in capital budgeting and portfolio management to calculate an investment's yield or overall financial quality by calculating an expected rate of return.,investopedia,1,37.13,14.4,0.0,12.71,15.9,10.78,16,20.25,20.4,-1th and 0th grade,78.8,72.62,36.63,4.3,48.6078431372549,40.73
Ontario Securities Commission (OSC),"The Ontario Securities Commission (OSC) is the largest securities regulator in Canada, enforcing securities laws in the province of Ontario. As a crown corporation, the OSC is answerable to the provincial government of Ontario.",investopedia,1,28.84,13.5,0.0,14.5,14.0,10.52,10,13.5,15.04,13th and 14th grade,75.5,72.56,35.61,4.6,49.5882352941177,38.45
Property Tax Deduction,"State and local property taxes are generally eligible to be deducted from the property owner's federal income taxes. Deductible real estate taxes include any state, local, or foreign taxes that are levied for the general public welfare. They do not include taxes charged for home renovations or for services like trash collection.",investopedia,1,37.0,12.4,13.0,12.87,12.5,10.26,16,11.6666666666667,12.3,12th and 13th grade,81.2,80.48,38.21,4.0,52.6538461538462,46.95
Regulation B (Reg B),"Regulation B is intended to prevent applicants from being discriminated against in any aspect of a credit transaction. Reg B outlines the rules that lenders must adhere to when obtaining and processing credit information. The regulation prohibits lenders from discriminating based on age, gender, ethnicity, nationality, or marital status.﻿﻿",investopedia,1,29.55,13.2,15.0,16.3,14.9,12.5,20,12.5,16.32,12th and 13th grade,76.2,69.72,32.87,4.8,47.5714285714286,31.72
Dilution,"Dilution occurs when a company issues new shares that result in a decrease in existing stockholders' ownership percentage of that company. Stock dilution can also occur when holders of stock options, such as company employees, or holders of other optionable securities exercise their options. When the number of shares outstanding increases, each existing stockholder owns a smaller, or diluted, percentage of the company, making each share less valuable.",investopedia,1,31.51,14.5,17.9,15.26,16.8,10.1,21,18.0,16.73,17th and 18th grade,75.7,70.56,33.35,4.6,45.1764705882353,31.63
ABA TRANSIT NUMBER,"In the United States, a unique identifier assigned by the AMERICAN BANKERS ASSOCIATION to a BANK, which is used in rout- ing of CHECKS and WIRE TRANSFERS.",palgrave,0,60.99,11.5,0.0,9.64,14.4,10.24,4,16.5,13.76,9th and 10th grade,95.3,89.85,41.2,2.9,52.7037037037037,54.27
CFO,See CHIEF FINANCIAL OFFICER.,palgrave,0,33.58,9.6,0.0,11.6,10.0,7.78,1,3.0,11.6,11th and 12th grade,82.8,78.24,35.6,1.3,101.5,51.64
Income,"The flow of wages, interest payments, dividends, and other receipts accruing to an individual or nation during a period of time (usually a year).",sam,1,30.2,15.0,0.0,11.03,14.5,11.41,9,18.0,19.6,14th and 15th grade,74.4,71.21,39.92,4.5,50.6666666666667,49.48
monetary policy,Actions taken by the Board of Governors of the Federal Reserve System to influence the money sup-ply or interest rates.,zvi,0,42.72,12.3,0.0,11.14,12.1,12.52,7,14.0,16.0,12th and 13th grade,84.4,80.93,40.67,3.9,54.0,53.54
EXECUTIVE MANAGEMENT,"A team within a company that is responsible for managing the tactical and strategic operations of the firm. The head of the executive management team is the CHIEF EXECUTIVE OFFICER, who may be appointed by the BOARD OF DIRECTORS.",palgrave,0,43.22,12.1,0.0,10.68,11.4,9.06,10,15.25,16.01,10th and 11th grade,85.0,80.31,41.62,4.0,55.4102564102564,57.61
One-Cancels-the-Other Order (OCO),"A one-cancels-the-other order (OCO) is a pair of conditional orders stipulating that if one order executes, then the other order is automatically canceled. An OCO order often combines a stop order with a limit order on an automated trading platform. When either the stop or limit price is reached and the order executed, the other order automatically gets canceled. Experienced traders use OCO orders to mitigate risk and to enter the market.",investopedia,1,36.28,12.7,12.2,11.42,11.8,8.7,14,11.5,11.64,11th and 12th grade,80.5,78.94,40.4,4.1,54.1388888888889,53.56
"i = Interest rate, which has a great effect on future value. The interest rate in the formula must be written in decimal form, such as 0.03 instead of 3%.","n = This is the number of periods, where ""n"" is the number of equal deposits that will be made.",9_12_louis,1,77.57,7.2,0.0,4.41,6.9,7.9,2,11.0,9.71,6th and 7th grade,109.5,105.86,52.3,2.0,64.7894736842105,84.78
QUANTO,"An OPTION that converts gains from an underlying DERIVATIVE into a target CURRENCY at a predetermined FOREIGN EXCHANGE RATE. The quanto allows an INVESTOR to participate in a foreign market/ASSET while protecting it from exchange rate RISK. Also known as GUARANTEED EXCHANGE RATE OPTION, QUANTITY ADJUSTED OPTION.",palgrave,0,30.16,13.0,13.6,14.73,13.2,10.8,17,11.1666666666667,13.94,13th and 14th grade,76.8,75.85,35.64,4.4,51.3404255319149,38.77
SECURITY MARKET LINE,"A financial relationship linking the RETURN and the NONDIVERSIFIABLE RISK of a LEVERAGED SECURITY. The security market line depicts PORTFOLIOS that maximize RETURN for a given level of BORROWING and RISK (reflected through BETA). The expected return is given as:where E(rj) is the expected return for security j, E(rm) is the expected return for the market portfolio, rf is the RISK-FREE RATE, and βj is the beta of security j. See also ARBITRAGE PRICING THEORY, CAPITAL ASSET PRICING MODEL.Additional references: Jensen (1972); Merton (1973); Roll (1977); Ross (1976).",palgrave,0,32.22,14.2,15.9,12.59,15.4,11.01,22,16.0,15.16,15th and 16th grade,76.4,71.56,37.57,4.6,47.8636363636364,38.87
Intellectual capital,The part of a country's or a firm's CAPITAL or an individual's HUMAN CAPITAL that consists of ideas rather than something more physical. It can often be protected through PATENTS or other intellectual property laws.,economist,1,45.25,11.3,0.0,11.6,11.7,9.92,8,12.25,12.71,11th and 12th grade,87.0,84.32,40.3,3.7,54.4285714285714,51.76
PURE RISK,"A RISK exposure that can result only in a loss or no loss, but no possibility of a gain. Also known as STANDARD RISK. See also SPECULATIVE RISK.",palgrave,0,70.5,5.7,8.8,4.38,2.9,7.48,5,4.66666666666667,8.01,8th and 9th grade,107.4,104.05,52.79,1.7,79.3571428571429,91.14
ACCUMULATED DIVIDEND,"A DIVIDEND that has been declared, but not yet paid, to INVESTORS holding CUMULATIVE PREFERRED STOCK. No divi- dends can be paid to holders of COMMON STOCK until accumulated dividendshave been paid. Since accumulated dividends are contractually owed to inves- tors, they are reflected as a LIABILITY on the ISSUER’s BALANCE SHEET until they are fully paid.",palgrave,0,43.73,11.9,13.0,12.42,12.8,10.4,17,12.5,13.21,12th and 13th grade,85.5,81.82,38.86,3.9,52.1578947368421,50.42
BOOTSTRAPPING,See STRIPPING THE YIELD CURVE.,palgrave,0,100.24,0.5,0.0,7.28,5.6,10.2,1,1.5,2.0,1st and 2nd grade,129.8,127.08,44.95,-1.7,97.0,79.65
DEREGULATION,"The process of removing or loosening rules, restrictions, and controls on companies, industries and/or markets, allowing for greater flexibilities and freedom in both tactical and strategic operations. Free market economies generally follow a policy of significant deregulation, with sufficient protections in place to guard consumers and other STAKEHOLDERS. See alsoREGULATION, REGULATOR.",palgrave,0,11.92,15.8,17.1,19.83,18.4,12.53,22,14.5,20.92,12th and 13th grade,63.5,61.57,26.68,5.5,40.1764705882353,14.74
SLOW LOAN,A LOAN where the BORROWER has become delinquent on INTEREST and/or PRINCIPAL payments; a slow loan must generally be reclas- sified as a NONACCRUAL LOAN and LOAN LOSS RESERVES must be allocated in anticipation of a possible write-off.,palgrave,0,24.45,19.3,0.0,12.6,22.0,10.51,12,27.0,22.57,12th and 13th grade,66.1,60.63,32.89,4.6,45.0526315789474,29.23
Account in Trust,An account in trust or trust account refers to any type of financial account that is opened by an individual and managed by a designated trustee for the benefit of a third party per agreed-upon terms.,investopedia,1,51.86,15.0,0.0,9.59,18.1,10.69,5,22.0,18.84,9th and 10th grade,86.1,80.85,38.68,3.1,51.5,47.38
FRIENDLY TAKEOVER,"An ACQUISITION that is agreed on amicable terms between the acquiring company and the TARGET. A friendly takeover may arise as a result of negotiations between the two companies, or it may be a WHITE KNIGHT response to a HOSTILE TAKEOVER offer from another party.",palgrave,0,48.64,12.1,0.0,10.86,12.8,9.31,9,14.75,13.44,12th and 13th grade,87.9,84.66,40.77,3.5,53.6666666666667,53.29
