terms,definitions,source,assigned_readability,flesch_reading_ease,flesch_kincaid_grade,smog_index,coleman_liau_index,automated_readability_index,dale_chall_readability_score,linsear_write_formula,gunning_fog
Macro Environment,"A macro environment is the condition that exists in the economy as a whole, rather than in a particular sector or region. In general, the macro environment includes trends in the gross domestic product (GDP), inflation, employment, spending, and monetary and fiscal policy. The macro-environment is closely linked to the general business cycle as opposed to the performance of an individual business sector.",investopedia,1,33.24,13.8,15.9,13.4,14.9,11.19,15.5,15.38
AXE,A significant RISK position held on the books of a FINANCIAL INSTITUTION that it wishes to sell or reduce as a matter of priority. Axed posi- tions generally feature attractive pricing or sales credits in order to incent sales- people to aggressively sell them to clients.,palgrave,0,39.67,13.4,0.0,11.15,13.3,11.99,15.5,16.16
BILLS PAYABLE,"BILLS OF EXCHANGE held by a company or financial insti- tution that must be paid as they come due, classified on the BALANCE SHEET as a CURRENT LIABILITY. See also BILLS RECEIVABLE.",palgrave,0,55.24,9.5,0.0,8.87,8.7,8.87,10.5,11.4
FICO credit score,"The most widely used credit score. FICO stands for Fair Isaac Corp., the company that developed this system of credit evaluation. FICO scores vary but generally range between 500 and 850. The higher the score, the more likely a borrower is to repay loans/debts.",6_8_louis,1,68.77,6.4,9.5,9.2,7.4,11.0,5.75,8.04
Law of Diminishing Marginal Productivity,"The law of diminishing marginal productivity is an economic principle usually considered by managers in productivity management. Generally, it states that advantages gained from slight improvement on the input side of the production equation will only advance marginally per unit and may level off or even decrease after a specific point.",investopedia,1,28.67,15.6,0.0,15.67,18.1,12.02,19.75,20.4
Trading Platform,"A trading platform is software used for trading: opening, closing, and managing market positions through a financial intermediary such as an online broker. Online trading platforms are frequently offered by brokers either for free or at a discount rate in exchange for maintaining a funded account and/or making a specified number of trades per month. The best trading platforms offer a mix of robust features and low fees.",investopedia,1,48.43,12.1,11.9,12.89,14.6,10.1,13.6666666666667,13.2
Fixed-rate mortgage (FRM),A mortgage loan in which the interest rate does not change during the entire term.,6_8_louis,1,81.63,5.6,0.0,8.05,7.4,7.54,7.5,8.67
mbo,management buyout.,prin,0,-6.7,14.7,0.0,15.8,19.6,19.53,1.0,20.8
GENERAL EQUILIBRIUM,"A MICROECONOMIC framework that focuses on SUPPLY, DEMAND, and prices of individual markets, and how these interact simultaneously at a macroeconomic level. Multiple strands of study support this theory, including theories based on partial equilibrium, competitive equi- librium, and price transfer equilibrium.",palgrave,0,7.86,17.4,0.0,18.62,19.2,13.7,17.5,20.78
Bid and Ask,The term bid and ask (also known as bid and offer) refers to a two-way price quotation that indicates the best potential price at which a security can be sold and bought at a given point in time. The bid price represents the maximum price that a buyer is willing to pay for a share of stock or other security. The ask price represents the minimum price that a seller is willing to take for that same security. A trade or transaction occurs when a buyer in the market is willing to pay the best offer available—or is willing to sell at the highest bid.,investopedia,1,61.7,11.2,12.6,7.38,11.8,7.05,15.25,13.57
Black Scholes Model,"The Black-Scholes model, also known as the Black-Scholes-Merton (BSM) model, is a mathematical model for pricing an options contract. In particular, the model estimates the variation over time of financial instruments.",investopedia,1,38.82,11.7,0.0,15.72,14.9,11.03,11.25,13.94
RETROCEDANT,A REINSURER that CEDES RISK to another REINSURER through a RETROCESSION CONTRACT.,palgrave,0,42.38,10.3,0.0,15.18,12.0,10.81,9.0,11.47
FORWARD BUNDLE,"A BUNDLE of EURODOLLAR FUTURES that does not begin with the FRONT MONTH contract, but with some future CON- TRACT date.",palgrave,0,75.54,7.9,0.0,9.23,11.3,9.19,11.5,10.3
UNDISTRIBUTABLE RESERVES,"In the United Kingdom, that portion of CAPITAL that cannot be distributed, including SHARE CAPITAL, the SHARE PREMIUM, and certain other RESERVES and unrealized profit accounts. See also RESTRICTED SURPLUS.",palgrave,0,30.87,12.7,0.0,15.19,13.9,9.64,11.0,12.67
Macroeconomics,"Analysis dealing with the behavior of the economy as a whole with respect to output, income, the price level, foreign trade, unemployment, and other aggregate economic variables. @Contrast with  microeconomics. @     Malthusian theory of population growth.     rst expressed by Thomas Malthus, that the “natural” tendency of popula-tion is to grow more rapidly than the food supply. Per capita food production would thus decline over time, thereby putting a check on population. In general, a view that population tends to grow more rapidly as incomes or living standards of the population rise.     ",sam,1,24.11,17.4,16.7,14.17,19.5,11.27,20.8333333333333,17.78
Non-Cash Charge,"A non-cash charge is a write-down or accounting expense that does not involve a cash payment. They can represent meaningful changes to a company's financial standing, weighing on earnings without affecting short-term capital in any way. Depreciation, amortization, depletion, stock-based compensation, and asset impairments are common non-cash charges that reduce earnings but not cash flows.",investopedia,1,44.44,11.6,14.6,17.52,17.2,11.43,13.1666666666667,15.32
Nonperforming Loan (NPL),"A nonperforming loan (NPL) is a loan in which the borrower is in default due to the fact that they have not made the scheduled payments for a specified period. Although the exact elements of nonperforming status can vary depending on the specific loan's terms, ""no payment"" is usually defined as zero payments of either principal or interest. The specified period also varies, depending on the industry and the type of loan. Generally, however, the period is 90 days or 180 days.",investopedia,1,50.67,11.3,15.2,9.98,11.7,10.05,14.75,14.05
TAC BOND,See TARGETED AMORTIZATION CLASS BOND.,palgrave,0,32.56,10.0,0.0,15.4,12.2,13.36,3.5,18.0
DUOPOLY,"A market that only features two sellers of goods or services, sug- gesting the sellers have a considerable degree of influence in setting prices. See also DUOPSONY, MONOPOLY, OLIGOPOLY.",palgrave,0,48.3,10.1,0.0,12.35,11.3,10.89,8.25,11.32
DEFERRED REVENUE,See DEFERRED CREDIT.,palgrave,0,59.97,5.6,0.0,7.32,8.3,14.31,0.5,1.2
90/10 Strategy,"Legendary investor Warren Buffett invented the “90/10"" investing strategy for the investment of retirement savings. The method involves deploying 90% of one's investment capital into stock-based index funds while allocating the remaining 10% of money toward lower-risk investments.",investopedia,1,26.81,14.2,0.0,18.56,18.3,14.14,15.5,17.07
WRITEOFF,"(1) The process of reducing the value of a FIXED ASSET accord- ing to a DEPRECIATION schedule. (2) The process of classifying a CREDIT as uncollectible, and charging it against a BAD DEBT RESERVE or a LOAN LOSS RESERVE.",palgrave,0,40.35,17.3,0.0,9.06,19.9,12.05,23.5,19.7
Purchase-Money Mortgage,"A purchase-money mortgage is a mortgage issued to the borrower by the seller of a home as part of the purchase transaction. Also known as a seller or owner financing, this is usually done in situations where the buyer cannot qualify for a mortgage through traditional lending channels. A purchase-money mortgage can be used in situations where the buyer is assuming the seller's mortgage, and the difference between the balance on the assumed mortgage and the sales price of the property is made up of seller financing.",investopedia,1,42.04,14.6,15.5,11.67,16.5,8.7,19.1666666666667,15.74
FIXED STRIKE SHOUT OPTION,"An OVER-THE-COUNTER COMPLEX OPTION that allows the buyer to lock in any accumulated gains when a “shout” is declared (i.e., the buyer formally declares its intention to lock in); gains are not lost if the market subsequently retraces. This version of the option com- pares the terminal price and shout level against a predefined STRIKE PRICE and allocates a gain to the larger of the two. See also CLIQUET OPTION, FLOATING STRIKE SHOUT OPTION, LADDER OPTION, SHOUT OPTION.",palgrave,0,53.55,12.3,12.5,11.26,15.4,9.58,15.6666666666667,13.99
Greeks,"Hedge parameters such as delta, gamma, vega, theta, and rho. ",opod,0,61.33,7.2,0.0,7.92,7.6,15.19,5.0,8.0
CBO,See COLLATERALIZED BOND OBLIGATION.,palgrave,0,-8.73,15.5,0.0,21.75,18.3,15.68,3.0,21.6
Heroes Earned Retirement Opportunities Act (HERO),"The Heroes Earned Retirement Opportunities Act (HERO) is a 2006 law that allows military personnel to fund their individual retirement accounts (IRAs) with combat pay. It is a tax break designed for those who have served in combat zones. Under the law, combat-related compensation paid since January 2004, which is tax-free, can be used to fund IRAs.﻿﻿",investopedia,1,52.19,10.7,13.0,11.6,12.5,9.84,12.5,12.51
Hyperledger Fabric,"Hyperledger Fabric is a modular blockchain framework that acts as a foundation for developing blockchain-based products, solutions, and applications using plug-and-play components that are aimed for use within private enterprises.",investopedia,1,15.65,18.5,0.0,21.01,25.1,14.07,24.0,22.67
Bond,"cate issued by a government or corpo-ration, promising to repay a sum of money @the principal@ plus  ed date in the future.     ",sam,1,32.22,14.2,0.0,8.01,11.2,11.19,14.0,10.62
SPOT,"A transaction in the current, or cash, market. See also  MARKET,  PRICE,  RATE.",palgrave,0,56.42,7.0,0.0,5.63,5.0,6.39,2.75,5.68
Hobby Loss,The term hobby loss refers to a loss that results from a business deemed to be a recreational activity or hobby by the Internal Revenue Service (IRS). Taxpayers cannot claim and recoup this money when the agency says it is spent while pursuing a hobby. That's because losses aren't allowed for expenses in excess of hobby income.﻿﻿ This means these expenses aren't deductible as they are with a business.﻿﻿,investopedia,1,56.59,11.1,11.9,10.68,13.1,9.35,13.8333333333333,12.68
